genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 2 6.5 26.874743326488705
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3 28.50924024640657
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.597535934291582
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4.75 10.973305954825461
PRUNUS "KWANZAN FLOWERING CHERRY" 1 7.75 10.015058179329227
PRUNUS "KWANZAN FLOWERING CHERRY" 2 6 26.869267624914443
PRUNUS "KWANZAN FLOWERING CHERRY" 2 8.5 24.53388090349076
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5.5 26.858316221765914
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.25 17.793292265571527
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5 16.772073921971252
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.25 16.777549623545518
PRUNUS "KWANZAN FLOWERING CHERRY" 1 8 17.754962354551676
PRUNUS "KWANZAN FLOWERING CHERRY" 1 11 16.66255989048597
PRUNUS "KWANZAN FLOWERING CHERRY" 1 12 16.66255989048597
PRUNUS "KWANZAN FLOWERING CHERRY" 2 6.25 16.930869267624914
PRUNUS "KWANZAN FLOWERING CHERRY" 2 6 16.930869267624914
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7.75 16.930869267624914
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 16.930869267624914
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 14.99520876112252
PRUNUS "KWANZAN FLOWERING CHERRY" 2 8 15.586584531143053
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.794661190965092
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6.5 15.772758384668036
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 14.683093771389458
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.62217659137577
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 10.636550308008214
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 6.746064339493498
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 6.746064339493498
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.657768651608487
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6.5 15.679671457905544
PRUNUS "KWANZAN FLOWERING CHERRY" 1 10 19.78097193702943
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5 19.761806981519506
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4.5 17.746748802190282
